canal,tvg_id,categoria,url_original,status,resultado,url_final
TV+Pet,TVPlusPet.br,Documentarios e Outros,https://stmv5.samcast.com.br/tvmaispet6354/tvmaispet6354/playlist.m3u8,OK,206/206,https://stmv5.samcast.com.br/tvmaispet6354/tvmaispet6354/playlist.m3u8
TVC-Rio,TVCRio.br,Canais Abertos,https://video05.logicahost.com.br/comunitariario/comunitariario/playlist.m3u8,OK,206/206,https://video05.logicahost.com.br/comunitariario/comunitariario/playlist.m3u8
TVCOM Maceio (480p),TVCOMMaceio.br,Canais Abertos,https://srv5.zcast.com.br/tvcommaceio/tvcommaceio/playlist.m3u8,OK,206/206,https://srv5.zcast.com.br/tvcommaceio/tvcommaceio/playlist.m3u8
TVE Bahia (1080p),TVEBahia.br,Documentarios e Outros,http://streaming.procergs.com.br:1935/tve/stve/playlist.m3u8,OK,206/206,http://streaming.procergs.com.br:1935/tve/stve/playlist.m3u8
TVE RS (1080p),TVERS.br,Documentarios e Outros,https://streaming.procergs.com.br:8443/tve/stve/playlist.m3u8,OK,206/206,https://streaming.procergs.com.br:8443/tve/stve/playlist.m3u8
TVideoNews (720p) [Not 24/7],TVideoNews.br,Noticias,https://video01.logicahost.com.br/tvideonews/tvideonews/playlist.m3u8,OK,206/206,https://video01.logicahost.com.br/tvideonews/tvideonews/playlist.m3u8
TVitape (720p),TVitape.br,Canais Abertos,https://stream01.msolutionbrasil.com.br/hls/tvitape/live.m3u8,OK,206/206,https://stream01.msolutionbrasil.com.br/hls/tvitape/live.m3u8
TVLatinaSat (720p),TVLatinaSat.br,Canais Abertos,https://www.latinasat.com.br/hls/live/stream/index.m3u8,OK,200/206,https://www.latinasat.com.br/hls/live/stream/index.m3u8
TVMatic Comedy (720p),TVMaticComedy.br,Filmes e Series,http://cdn.tvmatic.net/comedy.m3u8,OFF,URLError,http://cdn.tvmatic.net/comedy.m3u8
TVMatic Crafts (720p),TVMaticCrafts.br,Documentarios e Outros,http://cdn.tvmatic.net/crafts.m3u8,OFF,URLError,http://cdn.tvmatic.net/crafts.m3u8
TVMatic Facebook (720p),TVMaticFacebook.br,Documentarios e Outros,http://cdn.tvmatic.net/facebook.m3u8,OFF,URLError,http://cdn.tvmatic.net/facebook.m3u8
